company,cuenta_normalizada,industria,grupo_economico,tier_cuenta,notas,id_catalogo,pilar,scope,capability,origen,subfamilia,service_name,meses_estimados,costo_eur,min_revenue_eur,srp_eur,estado_catalogo,familia,activo,label_corto,grupo_sustitucion,nivel,modalidad,regla_grupo,descripcion_regla,es_singleton,ticket_tipo,servicio_normalizado,valor_referencia_eur,valor_anual_eur,fuente_valor,ticket_mediano_eur,n_observaciones,cobertura,n_pitches,n_ganados,n_perdidos,n_abiertos,revenue_ganado_eur,pipeline_abierto_eur,valor_perdido_eur,primer_contacto,ultimo_movimiento,ultima_derrota,estados,etiqueta_cobertura,simbolo,es_espacio_blanco
CLARO,Claro,Telco,America Movil,Estrategica,,18,CSA - Science,CSA Science - Creative Testing,Science,Global COE,C- Nested,C- Nested,3.0,18365.454545454544,33489.94652406417,40727.27272727272,Active,Creative Testing,True,C- Nested,solo:C- Nested,1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Alto,C- Nested,40727.27272727272,40727.27272727272,SRP catalogo,,0,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,68,CSA - Science,CSA Science - Creative Testing,Creative Tech,Latam COE,AI Content Creation,C-GenIA,3.0,0.0,,,Inactive,Creative Testing,False,C-GenIA,C-GenIA,2,Proyecto,ESCALABLE,Escalones de volumen (Basic 200 / Intermediate 500 / Advanced 1000 imagenes) y de facturacion (mensual / anual). Se entra por un escalon y se sube; los escalones iguales o inferiores quedan cubiertos.,False,A cotizar,C-GenIA,18305.05,18305.05,Historico CL,18305.05,4,PERDIDO,1.0,0.0,1.0,0.0,0.0,0.0,25311.96,2025-12-27,2025-12-27,2025-12-27,Perdido,Ofrecido y perdido,PERD,False
CLARO,Claro,Telco,America Movil,Estrategica,,16,CSA - Science,CSA Science - Creative Testing,Science,Global COE,C- Perform,C- Perform set up + 4 month access,3.0,8030.90909090909,14644.598930481283,17818.181818181816,Active,Creative Testing,True,C-Perform setup,C- Perform,1,Contrato,ESCALABLE,El set up con 4 meses de acceso es la entrada; el acceso mensual es la continuidad.,False,Alto,C-Perform setup,17818.181818181816,17818.181818181816,SRP catalogo,,0,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,19,CSA - Tech,CSA Tech - Data Integration & Activation,Tech,Google,Data Integration,1PD Integration (until 15 sources) - Google,3.0,3363.6363636363635,6133.689839572192,7454.545454545454,Active,Data Integration & Activation,True,1PD Integration,solo:1PD Integration (until 15 sources) - Google,1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Alto,1PD Integration,12156.75,12156.75,Historico CL,12156.75,1,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,81,CSA - Tech,CSA Tech - Data Integration & Activation,Tech,META,Server Side Solutions,META CAPI GATEWAY: Implementation in the Client's Own Environment,2.0,2727.272727272727,4973.262032085561,6090.90909090909,Active,Data Integration & Activation,True,META CAPI GW,META CAPI Gateway,1,Proyecto,ESCALABLE,"La version con Signals contiene a la version base: si ya esta la base, lo unico vendible es el upgrade.",False,Alto,META CAPI GW,6090.90909090909,6090.90909090909,SRP catalogo,,0,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,82,CSA - Tech,CSA Tech - Data Integration & Activation,Tech,META,Server Side Solutions,META CAPI GATEWAY: Implementation in the Client's Own Environment + Signals,2.0,2999.9999999999995,5470.588235294117,6727.272727272727,Active,Data Integration & Activation,True,META CAPI GW + Signals,META CAPI Gateway,2,Proyecto,ESCALABLE,"La version con Signals contiene a la version base: si ya esta la base, lo unico vendible es el upgrade.",False,Alto,META CAPI GW + Signals,6727.272727272727,6727.272727272727,SRP catalogo,,0,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,79,CSA - Tech,CSA Tech - Data Integration & Activation,Tech,META,Catalogs Automation,META Catalog Integration via API,2.0,3636.363636363636,6631.016042780748,8090.90909090909,Active,Data Integration & Activation,True,META Catalogo API,META Catalogos,1,Proyecto,EXCLUSIVO,"Bulk upload, API o plataforma nativa son tres formas de resolver el mismo catalogo. Se elige una.",False,Alto,META Catalogo API,8090.90909090909,8090.90909090909,SRP catalogo,,0,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,78,CSA - Tech,CSA Tech - Data Integration & Activation,Tech,META,Catalogs Automation,META Bulk Upload of Catalogs,1.0,1090.9090909090908,1989.3048128342245,2454.5454545454545,Active,Data Integration & Activation,True,META Catalogo bulk,META Catalogos,1,Proyecto,EXCLUSIVO,"Bulk upload, API o plataforma nativa son tres formas de resolver el mismo catalogo. Se elige una.",False,Bajo,META Catalogo bulk,2454.5454545454545,2454.5454545454545,SRP catalogo,,0,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,80,CSA - Tech,CSA Tech - Data Integration & Activation,Tech,META,Catalogs Automation,META Catalog Integration with Native Platforms,1.0,545.4545454545454,994.6524064171123,1272.7272727272725,Active,Data Integration & Activation,True,META Catalogo nativo,META Catalogos,1,Proyecto,EXCLUSIVO,"Bulk upload, API o plataforma nativa son tres formas de resolver el mismo catalogo. Se elige una.",False,Bajo,META Catalogo nativo,1272.7272727272725,1272.7272727272725,SRP catalogo,,0,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
CLARO,Claro,Telco,America Movil,Estrategica,,33,CSA - Tech,CSA Tech - Data Management & Engineering,Tech,APIs Administration,Data Integration,APIs Private,2.0,1545.4545454545453,2818.181818181818,3454.545454545454,Active,Data Management & Engineering,True,APIs Private,solo:APIs Private,1,Proyecto,ACUMULABLE,Servicio sin sustitutos en el catalogo.,True,Medio,APIs Private,3454.545454545454,3454.545454545454,SRP catalogo,,0,BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Nunca ofrecido,,True
