cuenta_normalizada,company,industria,tier_cuenta,servicio_normalizado,service_name,familia,subfamilia,pilar,modelo_comercial,ticket_tipo,cobertura,etiqueta_cobertura,tipo_oportunidad,score,prioridad,ranking_en_cuenta,valor_potencial_eur,c_demanda,c_afinidad,c_valor,c_momentum,c_adyacencia,score_base,factor_estado,factor_recencia,penetracion_pct,win_rate,momentum_pct,adopcion_industria_pct,cuentas_industria_ejecutan,cuentas_industria,basket_confianza_ejecutado,basket_lift_ejecutado,n_pitches,n_perdidos,ultima_derrota,dias_desde_derrota,reactivable,ultimo_movimiento,motivo,accion_sugerida
Parque Arauco,PARQUE ARAUCO,Real Estate & Malls,Estrategica,Consulting Ad Hoc,Consulting Ad Hoc,Consultoria & Ad Hoc,Consultoria Estrategica,CSA - Tech,Proyecto,Bajo,BLANCO,Nunca ofrecido,Espacio blanco,62.6,A,1,3235.0,0.9,0.406,0.47,1.0,0.5,62.615,1.0,1.0,20.7,0.75,100.0,0.0,0,1,0.636,1.17,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
TUA,TUA,Por clasificar,Emergente,Consulting Ad Hoc,Consulting Ad Hoc,Consultoria & Ad Hoc,Consultoria Estrategica,CSA - Tech,Proyecto,Bajo,BLANCO,Nunca ofrecido,Espacio blanco,62.2,A,1,3235.0,0.9,0.196,0.47,1.0,0.75,62.158,1.0,1.0,20.7,0.75,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,"Adyacente a consultoria & ad hoc, familia donde la cuenta ya compra; servicio con demanda activa en los ultimos meses.",Upsell directo sobre el servicio ya activo
Indumotora,INDUMOTORA,Automotriz,Estrategica,Consulting Ad Hoc,Consulting Ad Hoc,Consultoria & Ad Hoc,Consultoria Estrategica,CSA - Tech,Proyecto,Bajo,BLANCO,Nunca ofrecido,Espacio blanco,61.3,A,1,3235.0,0.9,0.354,0.47,1.0,0.5,61.256,1.0,1.0,20.7,0.75,100.0,50.0,2,4,0.0,0.0,0.0,0.0,,,,,2 de 4 cuentas de automotriz ya lo ejecutan; servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Claro,CLARO,Telco,Estrategica,SEO,SEO,Analytics & Optimizacion Digital,SEO,CSA - Tech,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,55.6,A,1,15497.0,0.365,0.245,0.765,0.972,0.75,55.573,1.0,1.0,3.4,0.667,100.0,33.3,1,3,0.0,0.0,0.0,0.0,,,,,"1 de 3 cuentas de telco ya lo ejecutan; adyacente a analytics & optimizacion digital, familia donde la cuenta ya compra; servicio con demanda activa en los ultimos meses.",Upsell directo sobre el servicio ya activo
Esmax,ESMAX,Energia & Combustibles,Desarrollo,Consulting Ad Hoc,Consulting Ad Hoc,Consultoria & Ad Hoc,Consultoria Estrategica,CSA - Tech,Proyecto,Bajo,BLANCO,Nunca ofrecido,Espacio blanco,55.6,A,1,3235.0,0.9,0.328,0.47,1.0,0.25,55.587,1.0,1.0,20.7,0.75,100.0,50.0,2,4,0.0,0.0,0.0,0.0,,,,,2 de 4 cuentas de energia & combustibles ya lo ejecutan; sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Usar como abrepuertas de bajo ticket
Esmax,ESMAX,Energia & Combustibles,Desarrollo,Meridian (Google Funds),Meridian Google Founds,Measurement & Efectividad,Marketing Mix Modeling,CSA - Science,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,55.4,A,2,19718.0,0.499,0.0,0.81,0.739,1.0,55.415,1.0,1.0,3.4,1.0,100.0,0.0,0,4,0.0,0.0,0.0,0.0,,,,,"Adyacente a measurement & efectividad, familia donde la cuenta ya compra; servicio con demanda activa en los ultimos meses.",Upsell directo sobre el servicio ya activo
SMU,SMU,Retail Supermercados,Emergente,Consulting Ad Hoc,Consulting Ad Hoc,Consultoria & Ad Hoc,Consultoria Estrategica,CSA - Tech,Proyecto,Bajo,BLANCO,Nunca ofrecido,Espacio blanco,54.5,A,1,3235.0,0.9,0.093,0.47,1.0,0.5,54.475,1.0,1.0,20.7,0.75,100.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Telefonica,TELEFONICA,Telco,Estrategica,Licencias SA/DV360,Licencias SA/DV360,Licencias & Plataformas,Licencias Media,CSA - Tech,Licencia,Alto,BLANCO,Nunca ofrecido,Espacio blanco,53.6,A,1,12477.0,0.499,0.15,0.724,0.805,0.75,53.552,1.0,1.0,3.4,1.0,100.0,33.3,1,3,0.0,0.0,0.0,0.0,,,,,"1 de 3 cuentas de telco ya lo ejecutan; adyacente a licencias & plataformas, familia donde la cuenta ya compra; servicio con demanda activa en los ultimos meses.",Upsell directo sobre el servicio ya activo
Claro,CLARO,Telco,Estrategica,MMM Full,MMM Marketing Mix Modeling (without data collection process),Measurement & Efectividad,Marketing Mix Modeling,CSA - Science,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,53.0,A,2,54108.0,0.141,0.0,1.0,0.971,1.0,53.038,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,3,0.0,0.0,0.0,0.0,,,,,"Adyacente a measurement & efectividad, familia donde la cuenta ya compra; servicio con demanda activa en los ultimos meses.",Upsell directo sobre el servicio ya activo
Esmax,ESMAX,Energia & Combustibles,Desarrollo,MMM Full,MMM Marketing Mix Modeling (without data collection process),Measurement & Efectividad,Marketing Mix Modeling,CSA - Science,Proyecto,Alto,BLANCO,Nunca ofrecido,Espacio blanco,53.0,A,3,54108.0,0.141,0.0,1.0,0.971,1.0,53.038,1.0,1.0,0.0,0.35304166666666664,100.0,0.0,0,4,0.0,0.0,0.0,0.0,,,,,"Adyacente a measurement & efectividad, familia donde la cuenta ya compra; servicio con demanda activa en los ultimos meses.",Upsell directo sobre el servicio ya activo
Inchcape Americas,INCHAPE AMERICAS,Automotriz,Desarrollo,Consulting Ad Hoc,Consulting Ad Hoc,Consultoria & Ad Hoc,Consultoria Estrategica,CSA - Tech,Proyecto,Bajo,BLANCO,Nunca ofrecido,Espacio blanco,52.6,A,1,3235.0,0.9,0.328,0.47,1.0,0.1,52.587,1.0,1.0,20.7,0.75,100.0,50.0,2,4,0.0,0.0,0.0,0.0,,,,,2 de 4 cuentas de automotriz ya lo ejecutan; sin anclaje en el portafolio actual de la cuenta; servicio con demanda activa en los ultimos meses.,Usar como abrepuertas de bajo ticket
Gildemeister,GILDEMEISTER,Automotriz,Estrategica,People Data Fee Media,People data fee Media,Licencias & Plataformas,Data Fee,CSA - Tech,Recurrente,Alto,BLANCO,Nunca ofrecido,Espacio blanco,52.5,A,1,10879.0,0.565,0.201,0.698,0.928,0.5,52.501,1.0,1.0,10.3,0.667,100.0,0.0,0,4,0.325,1.19,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Copec Flux,COPEC FLUX,Energia & Combustibles,Estrategica,People Data Fee Media,People data fee Media,Licencias & Plataformas,Data Fee,CSA - Tech,Recurrente,Alto,BLANCO,Nunca ofrecido,Espacio blanco,51.8,A,1,10879.0,0.565,0.176,0.698,0.928,0.5,51.848,1.0,1.0,10.3,0.667,100.0,0.0,0,4,0.325,1.19,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Enex,ENEX,Energia & Combustibles,Desarrollo,People Data Fee Media,People data fee Media,Licencias & Plataformas,Data Fee,CSA - Tech,Recurrente,Alto,BLANCO,Nunca ofrecido,Espacio blanco,51.8,A,1,10879.0,0.565,0.176,0.698,0.928,0.5,51.848,1.0,1.0,10.3,0.667,100.0,0.0,0,4,0.325,1.19,0.0,0.0,,,,,Servicio con demanda activa en los ultimos meses.,Cross-sell dentro del mismo pilar
Copec Flux,COPEC FLUX,Energia & Combustibles,Estrategica,Online Data Optimization - E-commerce,Online Data Optimization - sites with E-commerce,Analytics & Optimizacion Digital,Online Data Optimization,CSA - Tech,Proyecto,Medio,BLANCO,Nunca ofrecido,Espacio blanco,51.4,A,2,7336.0,0.299,0.047,0.624,0.983,1.0,51.408,1.0,1.0,3.4,0.5,100.0,0.0,0,4,0.0,0.0,0.0,0.0,,,,,"Adyacente a analytics & optimizacion digital, familia donde la cuenta ya compra; servicio con demanda activa en los ultimos meses.",Upsell directo sobre el servicio ya activo
Claro,CLARO,Telco,Estrategica,Online Data Optimization - Basic,Online Data Optimization - Basic,Analytics & Optimizacion Digital,Online Data Optimization,CSA - Tech,Proyecto,Bajo,BLANCO,Nunca ofrecido,Espacio blanco,51.2,A,3,3256.0,0.499,0.0,0.471,0.896,1.0,51.194,1.0,1.0,3.4,1.0,100.0,0.0,0,3,0.0,0.0,0.0,0.0,,,,,"Adyacente a analytics & optimizacion digital, familia donde la cuenta ya compra; servicio con demanda activa en los ultimos meses.",Upsell directo sobre el servicio ya activo
