servicio_normalizado,label_corto,service_name,familia,subfamilia,pilar,capability,origen,modalidad,ticket_tipo,grupo_sustitucion,regla_grupo,nivel,activo,penetracion_pct,win_rate,momentum_pct,valor_referencia_eur,valor_anual_eur,fuente_valor,srp_eur,ticket_mediano_eur,ticket_promedio_eur,revenue_eur,pitches,ganados,perdidos,abiertos,cuentas_con_servicio,cuentas_ofrecido,cuentas_blanco,ultimo_movimiento,dias_sin_movimiento
Consulting Ad Hoc,Consulting Ad Hoc,Consulting Ad Hoc,Tech Consulting,Ad Hoc Services,CSA - Tech,Consulting,Latam COE,Recurrente,A cotizar,solo:Consulting Ad Hoc,ACUMULABLE,1,True,20.7,0.75,100.0,3235.17,3235.17,Historico CL,,3235.17,5803.460588235294,28895.91,17.0,9.0,3.0,5.0,6,10,19,2026-08-27,0.0
People data fee Media,People data fee Media,People data fee Media,Tech Consulting,FTE,CSA - Tech,BI Services,Latam COE,Recurrente,A cotizar,solo:People data fee Media,ACUMULABLE,1,True,10.3,0.667,100.0,10879.470000000001,10879.470000000001,Historico CL,,10879.470000000001,12057.78,63638.84,6.0,4.0,2.0,0.0,3,4,25,2026-07-01,57.0
CAPI x Gateway,CAPI x Gateway,CAPI x Gateway by CSA - look for special ratecard,Data Management & Engineering,Server Side Solutions,CSA - Tech,Tech,META,Proyecto,A cotizar,CAPI Implementacion,EXCLUSIVO,1,True,6.9,1.0,100.0,1100.0,1100.0,Historico CL,,1100.0,1490.9588888888889,13418.630000000001,9.0,9.0,0.0,0.0,2,2,27,2026-06-10,78.0
Tech Services Ad Hoc,Tech Services Ad Hoc,Tech Services Ad Hoc,Tech Consulting,Ad Hoc Services,CSA - Tech,Tech,Latam COE,Recurrente,A cotizar,solo:Tech Services Ad Hoc,ACUMULABLE,1,True,6.9,0.222,81.8,3813.55,3813.55,Historico CL,,3813.55,6396.79,7081.76,11.0,2.0,7.0,2.0,2,9,20,2026-08-25,2.0
SEO,SEO,SEO,Tech Consulting,Others Units,CSA - Tech,SEO,Latam COE,Proyecto,A cotizar,solo:SEO,ACUMULABLE,1,True,3.4,0.667,100.0,15496.82,15496.82,Historico CL,,15496.82,18288.831666666665,31758.28,6.0,2.0,1.0,3.0,1,5,24,2026-08-06,21.0
Licencias SA/DV360,Licencias SA/DV360,Licencias SA/DV360,Tech Consulting,Licencias,CSA - Tech,Consulting,Google,Licencia,A cotizar,solo:Licencias SA/DV360,ACUMULABLE,1,True,3.4,1.0,100.0,12477.41,12477.41,Historico CL,,12477.41,12477.41,24954.82,2.0,2.0,0.0,0.0,1,1,28,2026-02-28,180.0
Meridian,Meridian,Meridian Google Founds,Measurement & Attribution,MMM,CSA - Science,Science,Google,Proyecto,Alto,MMM,EXCLUSIVO,2,True,3.4,1.0,100.0,19717.78,19717.78,Historico CL,63636.36363636363,19717.78,19717.78,19717.78,1.0,1.0,0.0,0.0,1,1,28,2025-12-01,269.0
MMM Lite,MMM Lite,MMM Lite,Measurement & Attribution,MMM,CSA - Science,Science,Latam COE,Proyecto,Alto,MMM,EXCLUSIVO,1,True,3.4,0.167,100.0,16312.169999999998,16312.169999999998,Historico CL,12909.090909090908,16312.169999999998,17286.329999999998,12372.88,6.0,1.0,5.0,0.0,1,5,24,2026-02-24,184.0
C-GenIA Basic Anual,C-GenIA Basic Anual,C-GenIA - Basic (200 images) Annual Subscription,Platform Management & Operation,AI Content Creation,CSA - Tech,Tech,Latam COE,Anual,Alto,C-GenIA,ESCALABLE,1,True,3.4,0.5,100.0,7919.48,7919.48,Historico CL,17090.90909090909,7919.48,6999.876666666666,7919.48,3.0,1.0,1.0,1.0,1,3,26,2026-04-27,122.0
ODO E-commerce,ODO E-commerce,Online Data Optimization - sites with E-commerce,Tech Consulting,GA4,CSA - Tech,Tech,Google,Proyecto,Alto,ODO,EXCLUSIVO,1,True,3.4,0.5,100.0,7335.525,7335.525,Historico CL,7909.090909090908,7335.525,7218.1325,5532.01,5.0,1.0,1.0,3.0,1,4,25,2026-08-14,13.0
ODO Basic,ODO Basic,Online Data Optimization - Basic,Tech Consulting,GA4,CSA - Tech,Tech,Google,Proyecto,Bajo,ODO,EXCLUSIVO,1,True,3.4,1.0,100.0,3255.83,3255.83,Historico CL,3272.7272727272725,3255.83,3255.83,2698.11,2.0,1.0,0.0,1.0,1,2,27,2026-06-03,85.0
Perf. Powered Conv.,Perf. Powered Conv.,Performance Powered Conversions (ECL),Tech Consulting,Enhance Conversions,CSA - Tech,Tech,Google,Proyecto,Bajo,solo:Performance Powered Conversions (ECL),ACUMULABLE,1,True,3.4,0.5,75.0,1960.8000000000002,1960.8000000000002,Historico CL,2454.5454545454545,1960.8000000000002,2436.7925,762.71,4.0,1.0,1.0,2.0,1,3,26,2026-06-10,78.0
BI Services,BI Services,BI Services,Tech Consulting,Ad Hoc Services,CSA - Tech,BI Services,Latam COE,Proyecto,A cotizar,solo:BI Services,ACUMULABLE,1,True,3.4,0.5,100.0,266.1,266.1,Historico CL,,266.1,1076.7700000000002,266.1,3.0,1.0,1.0,1.0,1,2,27,2026-08-03,24.0
C- Nested,C- Nested,C- Nested,Creative Testing,C- Nested,CSA - Science,Science,Global COE,Proyecto,Alto,solo:C- Nested,ACUMULABLE,1,True,0.0,,0.0,40727.27272727272,40727.27272727272,SRP catalogo,40727.27272727272,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
C-GenIA,C-GenIA,C-GenIA,Creative Testing,AI Content Creation,CSA - Science,Creative Tech,Latam COE,Proyecto,A cotizar,C-GenIA,ESCALABLE,2,False,0.0,0.0,100.0,18305.05,18305.05,Historico CL,,18305.05,17464.01,0.0,4.0,0.0,3.0,1.0,0,4,25,2026-07-20,38.0
C-Perform setup,C-Perform setup,C- Perform set up + 4 month access,Creative Testing,C- Perform,CSA - Science,Science,Global COE,Contrato,Alto,C- Perform,ESCALABLE,1,True,0.0,,0.0,17818.181818181816,17818.181818181816,SRP catalogo,17818.181818181816,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
1PD Integration,1PD Integration,1PD Integration (until 15 sources) - Google,Data Integration & Activation,Data Integration,CSA - Tech,Tech,Google,Proyecto,Alto,solo:1PD Integration (until 15 sources) - Google,ACUMULABLE,1,True,0.0,,100.0,12156.75,12156.75,Historico CL,7454.545454545454,12156.75,12156.75,0.0,1.0,0.0,0.0,1.0,0,1,28,2026-06-03,85.0
META CAPI GW,META CAPI GW,META CAPI GATEWAY: Implementation in the Client's Own Environment,Data Integration & Activation,Server Side Solutions,CSA - Tech,Tech,META,Proyecto,Alto,META CAPI Gateway,ESCALABLE,1,True,0.0,,0.0,6090.90909090909,6090.90909090909,SRP catalogo,6090.90909090909,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
META CAPI GW + Signals,META CAPI GW + Signals,META CAPI GATEWAY: Implementation in the Client's Own Environment + Signals,Data Integration & Activation,Server Side Solutions,CSA - Tech,Tech,META,Proyecto,Alto,META CAPI Gateway,ESCALABLE,2,True,0.0,,0.0,6727.272727272727,6727.272727272727,SRP catalogo,6727.272727272727,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
META Catalogo API,META Catalogo API,META Catalog Integration via API,Data Integration & Activation,Catalogs Automation,CSA - Tech,Tech,META,Proyecto,Alto,META Catalogos,EXCLUSIVO,1,True,0.0,,0.0,8090.90909090909,8090.90909090909,SRP catalogo,8090.90909090909,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
